# Rime user dictionary
#@/db_name	rime_frost
#@/db_type	userdb
#@/rime_version	1.15.0
#@/tick	14618
#@/user_id	a97dd0d8-3b8d-40de-b6cd-ee2c5013a0d7
a 	啊	c=2 d=0.952922 t=14618
bei guan 	悲观	c=1 d=0.752014 t=14618
bei hou 	背后	c=1 d=0.960789 t=14618
bei jing 	北京	c=2 d=1.81049 t=14618
bei jing 	背景	c=10 d=6.96056 t=14618
bei kao 	备考	c=2 d=1.77492 t=14618
bei shang 	悲伤	c=4 d=1.90152 t=14618
bei wang lu 	备忘录	c=1 d=1 t=14618
ben 	本	c=2 d=0.84334 t=14618
ben di 	本地	c=2 d=1.94176 t=14618
ben di hua 	本地化	c=1 d=0.778801 t=14618
ben ke 	本科	c=1 d=0.489192 t=14618
ben ke sheng 	本科生	c=1 d=0.687289 t=14618
ben ren 	本人	c=2 d=0.47388 t=14618
ben shen 	本身	c=2 d=1.74361 t=14618
ben xiao 	本校	c=0 d=0.0955997 t=14618
ben xiao de 	本校的	c=1 d=0.960789 t=14618
ben zheng 	本征	c=5 d=3.79152 t=14618
ben zheng 	本证	c=1 d=0.941765 t=14618
ben zhi 	本质	c=6 d=3.83885 t=14618
bi 	比	c=10 d=3.70581 t=14618
bi bei 	必备	c=1 d=0.995012 t=14618
bi bing 	弊病	c=2 d=1.51029 t=14618
bi dao 	毕导	c=1 d=1 t=14618
bi ding 	必定	c=2 d=1.76766 t=14618
bi ji 	笔记	c=3 d=1.90892 t=14618
bi ji ben 	笔记本	c=19 d=9.22711 t=14618
bi ji ben ping mu 	笔记本屏幕	c=1 d=0.946485 t=14618
bi jiao 	比较	c=7 d=2.49693 t=14618
bi jiao man 	比较慢	c=1 d=0.83527 t=14618
bi jing 	毕竟	c=1 d=0.603506 t=14618
bi li 	比例	c=1 d=0.99005 t=14618
bi lv 	碧绿	c=1 d=0.941765 t=14618
bi men zao che 	闭门造车	c=1 d=0.371577 t=14618
bi mian 	避免	c=2 d=1.85183 t=14618
bi ni 	比你	c=1 d=0.529935 t=14618
bi qi 	比起	c=2 d=1.05733 t=14618
bi ru 	比如	c=9 d=4.16281 t=14618
bi xu 	必须	c=1 d=0.559898 t=14618
bi xu yao 	必须要	c=2 d=1.73977 t=14618
bi yao 	必要	c=3 d=1.94637 t=14618
bi yao de 	必要的	c=1 d=0.88692 t=14618
bi yao tiao jian 	必要条件	c=2 d=1.32409 t=14618
bi ye 	毕业	c=1 d=0.65377 t=14618
bi ye shi 	毕业时	c=1 d=0.718924 t=14618
bi yu 	比喻	c=2 d=1.39191 t=14618
bi zhi 	壁纸	c=3 d=2.13005 t=14618
bi zi 	鼻子	c=1 d=0.995012 t=14618
bian 	变	c=4 d=2.00845 t=14618
bian 	遍	c=1 d=0.965605 t=14618
bian cheng 	变成	c=2 d=1.65703 t=14618
bian cheng 	编程	c=2 d=0.993708 t=14618
bian cheng he 	变成和	c=1 d=0.348192 t=14618
bian cheng zhong 	编程中	c=1 d=0.380983 t=14618
bian da 	变大	c=0 d=0.097531 t=14618
bian de 	变得	c=2 d=1.14874 t=14618
bian ge 	变革	c=1 d=0.56836 t=14618
bian geng 	变更	c=1 d=0.941765 t=14618
bian hua 	变化	c=5 d=2.18787 t=14618
bian ji 	编辑	c=2 d=1.75125 t=14618
bian ji qi 	编辑器	c=1 d=0.946485 t=14618
bian le 	变了	c=1 d=0.97531 t=14618
bian liang 	变量	c=11 d=3.76552 t=14618
bian man le 	变慢了	c=1 d=0.733447 t=14618
bian wei 	变为	c=1 d=0.909373 t=14618
bian yi 	编译	c=7 d=6.08154 t=14618
bian yi man 	编译慢	c=1 d=1 t=14618
bian yi wan 	编译玩	c=1 d=0.923116 t=14618
bian yuan 	边缘	c=2 d=0.747562 t=14618
bian yuan ren 	边缘人	c=0 d=0.0722527 t=14618
bian zhi 	边值	c=2 d=1.8149 t=14618
bian zhi tiao jian 	边值条件	c=1 d=0.704688 t=14618
biao da 	表达	c=1 d=0.847894 t=14618
biao da shi 	表达式	c=2 d=1.53943 t=14618
biao ge 	表格	c=1 d=1.01702 t=14618
biao ge fa 	表格法	c=1 d=0.99005 t=14618
biao mian 	表面	c=1 d=0.923116 t=14618
biao qian 	标签	c=1 d=0.932394 t=14618
biao qing bao 	表情包	c=1 d=0.99005 t=14618
biao shi 	标势	c=2 d=1 t=14618
biao shi 	表示	c=3 d=1.50225 t=14618
biao shi wei 	表示为	c=1 d=0.722527 t=14618
biao ti 	标题	c=4 d=2.76801 t=14618
biao xian chu 	表现出	c=1 d=0.755784 t=14618
biao zhun 	标准	c=5 d=2.77194 t=14618
biao zhun xing shi 	标准形式	c=1 d=0.900325 t=14618
bie 	别	c=0 d=0.0818731 t=14618
bie de 	别的	c=11 d=5.35452 t=14618
bie guan 	别管	c=0 d=0.0985112 t=14618
bie ji 	别急	c=1 d=0.67032 t=14618
bie xue 	别学	c=1 d=0.882497 t=14618
bie xue le 	别学了	c=2 d=1.49417 t=14618
bie yang 	别样	c=1 d=0.511709 t=14618
bing 	并	c=9 d=3.88136 t=14618
bing bu shi 	并不是	c=1 d=0.985112 t=14618
bing fei 	并非	c=1 d=0.882497 t=14618
bing gan 	饼干	c=1 d=0.640824 t=14618
bing qie 	并且	c=17 d=3.84779 t=14618
bing tu 	饼图	c=1 d=0.980199 t=14618
bing xiang 	冰箱	c=2 d=1.97516 t=14618
bing yao 	并要	c=1 d=0.831104 t=14618
bing zai 	并在	c=1 d=0.644036 t=14618
bo 	伯	c=0 d=0.0771052 t=14618
bo 	波	c=2 d=1.4771 t=14618
bo chang 	波长	c=2 d=1.95693 t=14618
bo dao 	波导	c=1 d=1.04558 t=14618
bo dao bo chang 	波导波长	c=1 d=0.955997 t=14618
bo dao guan 	波导管	c=2 d=1.98511 t=14618
bo dong 	波动	c=2 d=1.58528 t=14618
bo dong guang xue 	波动光学	c=2 d=0.995082 t=14618
bo dong xing 	波动性	c=10 d=4.41051 t=14618
bo fang qi 	播放器	c=1 d=1 t=14618
bo lan 	波澜	c=1 d=0.690734 t=14618
bo song 	泊松	c=1 d=0.965605 t=14618
bo wu guan 	博物馆	c=3 d=2.07833 t=14618
bo wu guan li 	博物馆里	c=1 d=0.729789 t=14618
bo xing 	波形	c=1 d=0.960789 t=14618
bo xue 	剥削	c=1 d=0.637628 t=14618
bo zu kang 	波阻抗	c=1 d=0.937067 t=14618
bu 	不	c=15 d=3.79656 t=14618
bu ba 	不把	c=1 d=0.814647 t=14618
bu bian 	不变	c=2 d=1.65355 t=14618
bu can yu 	不参与	c=1 d=0.995012 t=14618
bu chong 	补充	c=1 d=0.477114 t=14618
bu chong fen 	不充分	c=1 d=0.878095 t=14618
bu chu 	不出	c=1 d=0.99005 t=14618
bu cuo 	不错	c=2 d=1.54481 t=14618
bu cuo de 	不错的	c=1 d=0.83527 t=14618
bu dao 	不到	c=1 d=0.722527 t=14618
bu de bu 	不得不	c=2 d=1.34471 t=14618
bu de zui 	不得罪	c=1 d=0.951229 t=14618
bu deng yu 	不等于	c=1 d=0.965605 t=14618
bu ding 	补丁	c=1 d=0.900325 t=14618
bu duan 	不断	c=1 d=0.802519 t=14618
bu dui 	不对	c=2 d=1.21663 t=14618
bu duo 	不多	c=1 d=0.449155 t=14618
bu duo zuo 	不多作	c=1 d=0.83527 t=14618
bu fa 	步伐	c=1 d=0.484325 t=14618
bu fen 	部分	c=2 d=1.77667 t=14618
bu fu 	不符	c=2 d=1.32402 t=14618
bu gan xiang 	不敢想	c=1 d=0.960789 t=14618
bu gao 	不高	c=1 d=0.600496 t=14618
bu gou 	不够	c=2 d=1.56498 t=14618
bu guan 	不管	c=1 d=0.947353 t=14618
bu guan dao 	不管到	c=1 d=0.970446 t=14618
bu guo 	不过	c=1 d=0.851149 t=14618
bu guo duo 	不过多	c=1 d=0.759572 t=14618
bu hao 	不好	c=2 d=1.17384 t=14618
bu hao kan 	不好看	c=1 d=1 t=14618
bu hao yi si 	不好意思	c=1 d=0.995012 t=14618
bu hui 	不会	c=8 d=3.38314 t=14618
bu hui dui 	不会对	c=1 d=0.909373 t=14618
bu hui you 	不会有	c=1 d=0.591555 t=14618
bu ji 	不急	c=1 d=0.923116 t=14618
bu ji de 	不记得	c=1 d=0.980199 t=14618
bu ji lu 	不记录	c=1 d=0.932394 t=14618
bu jian 	部件	c=2 d=1.47057 t=14618
bu jian rong 	不兼容	c=1 d=0.806541 t=14618
bu jin 	不仅	c=5 d=2.72487 t=14618
bu jiu hao le 	不就好了	c=1 d=0.778801 t=14618
bu ju 	布局	c=4 d=3.02537 t=14618
bu ju xian yu 	不局限于	c=1 d=0.644036 t=14618
bu ka 	不卡	c=1 d=0.970446 t=14618
bu kai xin 	不开心	c=0 d=0.0778801 t=14618
bu kai xin de 	不开心的	c=1 d=0.782705 t=14618
bu kao 	不考	c=1 d=0.955997 t=14618
bu kao lv 	不考虑	c=1 d=0.66365 t=14618
bu ke 	不可	c=2 d=1.92644 t=14618
bu ke yi 	不可以	c=1 d=0.980199 t=14618
bu lai 	不来	c=0 d=0.0839457 t=14618
bu lai 	不赖	c=2 d=1.63452 t=14618
bu liao 	不了	c=3 d=2.49104 t=14618
bu luo he 	布洛赫	c=1 d=0.955997 t=14618
bu mian 	不免	c=1 d=0.631284 t=14618
bu neng 	不能	c=7 d=4.70951 t=14618
bu quan 	补全	c=5 d=3.62175 t=14618
bu rang 	不让	c=1 d=0.960789 t=14618
bu rong yi 	不容易	c=1 d=0.429557 t=14618
bu ru 	不如	c=1 d=0.729789 t=14618
bu shao 	不少	c=2 d=1.04298 t=14618
bu shi 	不是	c=24 d=6.05521 t=14618
bu shi ma 	不是吗	c=1 d=0.511709 t=14618
bu shi yong 	不使用	c=2 d=1.84646 t=14618
bu sui 	不随	c=1 d=0.802519 t=14618
bu tai dui 	不太对	c=1 d=0.970446 t=14618
bu tai gou 	不太够	c=0 d=0.0865022 t=14618
bu tai gou yong le 	不太够用了	c=1 d=0.869358 t=14618
bu tai shu xi 	不太熟悉	c=1 d=0.941765 t=14618
bu ting 	不停	c=0 d=0.0657047 t=14618
bu ting xuan zhuan 	不停旋转	c=1 d=0.66034 t=14618
bu tong 	不同	c=4 d=1.26809 t=14618
bu tong shi 	不同时	c=1 d=0.683861 t=14618
bu wu zheng ye 	不务正业	c=1 d=0.818731 t=14618
bu xi guan 	不习惯	c=1 d=0.786628 t=14618
bu xian shi 	不显示	c=1 d=0.995012 t=14618
bu xiang 	不想	c=4 d=2.98552 t=14618
bu xiang yong 	不想用	c=2 d=1.9458 t=14618
bu xiao xin 	不小心	c=1 d=0.941765 t=14618
bu xing 	不行	c=1 d=0.477114 t=14618
bu xing de hua 	不行的话	c=1 d=0.937067 t=14618
bu xing jie 	步行街	c=1 d=0.822835 t=14618
bu xiu 	不朽	c=0 d=0.0900325 t=14618
bu xu yao 	不需要	c=8 d=3.1293 t=14618
bu yao 	不要	c=0 d=0.0913931 t=14618
bu yao guo 	不要过	c=1 d=0.918512 t=14618
bu yi 	不以	c=1 d=0.806541 t=14618
bu yi ding 	不一定	c=1 d=0.843665 t=14618
bu yi yang 	不一样	c=5 d=3.30407 t=14618
bu ying xiang 	不影响	c=1 d=0.960789 t=14618
bu yong 	不用	c=4 d=2.09386 t=14618
bu zai 	不再	c=2 d=0.451021 t=14618
bu zao 	不造	c=1 d=0.970446 t=14618
bu zhe me 	不这么	c=1 d=0.99005 t=14618
bu zheng que 	不正确	c=1 d=0.965605 t=14618
bu zhi 	不知	c=3 d=2.39714 t=14618
bu zhi dao 	不知道	c=6 d=2.07828 t=14618
bu zhi de 	不值得	c=1 d=0.995012 t=14618
bu zhi yu 	不至于	c=1 d=1 t=14618
bu zhou 	步骤	c=1 d=0.951229 t=14618
bu zuo 	不做	c=1 d=0.755784 t=14618
cai 	才	c=7 d=2.66413 t=14618
cai 	猜	c=1 d=0.878095 t=14618
cai 	菜	c=0 d=0.0873716 t=14618
cai dan 	彩蛋	c=1 d=0.980199 t=14618
cai dan 	菜单	c=1 d=0.97531 t=14618
cai dao 	踩到	c=0 d=0.0718924 t=14618
cai dao le 	踩到了	c=2 d=1.46706 t=14618
cai de 	猜的	c=1 d=0.904837 t=14618
cai fu 	财富	c=1 d=1.03926 t=14618
cai guang 	采光	c=1 d=0.960789 t=14618
cai liao 	材料	c=1 d=0.570877 t=14618
cai neng 	才能	c=3 d=1.93644 t=14618
cai neng dao 	才能到	c=1 d=0.980199 t=14618
cai neng yong 	才能用	c=1 d=0.970446 t=14618
cai piao 	彩票	c=1 d=0.704688 t=14618
cai qu 	采取	c=1 d=0.951229 t=14618
cai yong 	才用	c=1 d=0.923116 t=14618
cai yong 	采用	c=5 d=0.855903 t=14618
cai yong le 	采用了	c=1 d=0.960789 t=14618
can guan 	参观	c=1 d=0.831104 t=14618
can guan 	餐馆	c=1 d=0.852144 t=14618
can guan xue xi 	参观学习	c=1 d=0.704688 t=14618
can kao 	参考	c=4 d=2.04309 t=14618
can kao dian 	参考点	c=1 d=0.960789 t=14618
can kao xia 	参考下	c=1 d=0.819572 t=14618
can ku 	残酷	c=1 d=0.631284 t=14618
can shu 	参数	c=5 d=2.57103 t=14618
can yu 	参与	c=4 d=2.38392 t=14618
can za 	参杂	c=1 d=0.980199 t=14618
cang ku 	仓库	c=2 d=1.8466 t=14618
cao an 	草案	c=2 d=1.91727 t=14618
cao gao 	草稿	c=1 d=0.704688 t=14618
cao kong 	操控	c=1 d=0.782705 t=14618
cao mei 	草莓	c=1 d=0.941765 t=14618
cao zuo 	操作	c=16 d=7.92553 t=14618
cao zuo le 	操作了	c=1 d=0.865022 t=14618
ce chu lai 	测出来	c=1 d=0.985112 t=14618
ce lan 	侧栏	c=1 d=0.985112 t=14618
ce shi 	测试	c=3 d=1.54751 t=14618
ce su 	测速	c=2 d=1.77492 t=14618
ceng 	曾	c=3 d=0.696295 t=14618
cha 	差	c=1 d=0.436049 t=14618
cha 	查	c=3 d=1.65252 t=14618
cha bie 	差别	c=2 d=1.00849 t=14618
cha bu duo 	差不多	c=1 d=0.831104 t=14618
cha cheng 	叉乘	c=1 d=0.985112 t=14618
cha jian 	插件	c=14 d=8.95572 t=14618
cha kan 	查看	c=17 d=7.4126 t=14618
cha kan qi 	查看器	c=3 d=2.74307 t=14618
cha lou bu que 	查漏补缺	c=1 d=0.927743 t=14618
cha ru 	插入	c=3 d=2.46943 t=14618
cha xun 	查询	c=4 d=3.34827 t=14618
cha yi 	差异	c=1 d=0.97531 t=14618
cha yue 	查阅	c=2 d=0.970446 t=14618
cha zhao 	查找	c=5 d=2.63961 t=14618
cha zhi 	差值	c=9 d=4.84188 t=14618
chai 	拆	c=1 d=0.918512 t=14618
chai 	柴	c=1 d=0.71177 t=14618
chai jie 	拆解	c=1 d=0.740818 t=14618
chai kai 	拆开	c=1 d=0.923116 t=14618
chan sheng 	产生	c=3 d=1.95402 t=14618
chan sheng de 	产生的	c=1 d=0.371577 t=14618
chan sheng le 	产生了	c=2 d=1.25063 t=14618
chan shu 	阐述	c=1 d=0.900325 t=14618
chan ye 	产业	c=11 d=4.86163 t=14618
chan ye bu ju 	产业布局	c=3 d=2.09361 t=14618
chan ye ji qun 	产业集群	c=1 d=0.771052 t=14618
chang 	尝	c=1 d=0.65377 t=14618
chang 	长	c=6 d=3.75897 t=14618
chang chang 	尝尝	c=4 d=2.14739 t=14618
chang chang 	常常	c=1 d=0.985112 t=14618
chang chang xian 	尝尝鲜	c=1 d=1 t=14618
chang chun 	长春	c=6 d=3.55662 t=14618
chang chun guang ji suo 	长春光机所	c=5 d=2.34656 t=14618
chang du 	长度	c=22 d=9.09031 t=14618
chang jian de 	常见的	c=1 d=0.927743 t=14618
chang jing 	场景	c=1 d=0.927743 t=14618
chang ku 	长裤	c=0 d=0.0927743 t=14618
chang nan ju 	长难句	c=2 d=1.9458 t=14618
chang shi 	尝试	c=2 d=1.6388 t=14618
chang shi 	常识	c=1 d=0.782705 t=14618
chang shi jian 	长时间	c=1 d=0.985112 t=14618
chang shi shang 	尝试上	c=1 d=0.97531 t=14618
chang shu 	常数	c=7 d=6.53079 t=14618
chang shu 	常熟	c=3 d=2.03709 t=14618
chang shu shi 	常熟市	c=2 d=0.763379 t=14618
chang yi chang 	尝一尝	c=1 d=0.918512 t=14618
chang yong 	常用	c=3 d=2.04857 t=14618
chao 	抄	c=1 d=0.794534 t=14618
chao 	超	c=2 d=1.57291 t=14618
chao biao 	超标	c=2 d=1.84644 t=14618
chao cai liao 	超材料	c=5 d=2.99831 t=14618
chao da 	超大	c=1 d=0.474734 t=14618
chao hu 	超乎	c=1 d=0.831104 t=14618
chao jue 	超绝	c=2 d=1.37837 t=14618
chao le 	抄了	c=2 d=1.53849 t=14618
chao xing 	吵醒	c=0 d=0.0970446 t=14618
chao yue 	超越	c=1 d=0.923116 t=14618
che hui 	撤回	c=1 d=0.965605 t=14618
che xiao 	撤销	c=1 d=0.955997 t=14618
chen dian 	沉淀	c=1 d=0.225373 t=14618
chen jian nian 	陈建年	c=1 d=1 t=14618
chen xian 	衬线	c=2 d=1.97521 t=14618
cheng 	乘	c=1 d=0.909373 t=14618
cheng 	城	c=2 d=1.58621 t=14618
cheng 	成	c=6 d=2.8359 t=14618
cheng dan 	承担	c=2 d=1.71613 t=14618
cheng du 	程度	c=2 d=0.62354 t=14618
cheng gong 	成功	c=4 d=1.51768 t=14618
cheng gong lv 	成功率	c=1 d=0.594521 t=14618
cheng guo 	成果	c=2 d=0.644093 t=14618
cheng hao 	称号	c=2 d=1.6665 t=14618
cheng ji 	成绩	c=5 d=2.23644 t=14618
cheng jiu 	成就	c=3 d=1.56499 t=14618
cheng li yi lai 	成立以来	c=1 d=0.496585 t=14618
cheng shang 	乘上	c=1 d=0.941765 t=14618
cheng shi 	城市	c=17 d=8.0351 t=14618
cheng shi gui hua 	城市规划	c=2 d=1.17852 t=14618
cheng shi zhi li 	城市治理	c=1 d=0.970446 t=14618
cheng wei 	成为	c=1 d=0.927743 t=14618
cheng wei 	称为	c=2 d=1.6278 t=14618
cheng xi 	承袭	c=1 d=0.410656 t=14618
cheng xian 	呈现	c=1 d=0.416862 t=14618
cheng xian chu le 	呈现除了	c=1 d=0.506617 t=14618
cheng xiang 	城乡	c=1 d=0.774916 t=14618
cheng xiang 	成像	c=1 d=0.582748 t=14618
cheng xiao 	成效	c=2 d=1.06739 t=14618
cheng xu 	程序	c=11 d=5.81396 t=14618
cheng yu 	成语	c=2 d=0.653083 t=14618
cheng yuan 	成员	c=1 d=0.913931 t=14618
cheng zhang 	成长	c=1 d=0.794534 t=14618
chi 	吃	c=1 d=0.918512 t=14618
chi dun 	吃顿	c=1 d=0.519442 t=14618
chi fan 	吃饭	c=3 d=1.9724 t=14618
chi le 	吃了	c=1 d=0.970446 t=14618
chi le fan 	吃了饭	c=1 d=0.900325 t=14618
chi sha 	吃啥	c=1 d=0.937067 t=14618
chi shen me 	吃什么	c=1 d=0.995012 t=14618
chong ci 	冲刺	c=1 d=0.918512 t=14618
chong fen 	充分	c=2 d=1.02142 t=14618
chong fen shuo ming 	充分说明	c=0 d=0.0687289 t=14618
chong gou 	重构	c=0 d=0.0755784 t=14618
chong gou tu 	重构图	c=1 d=0.759572 t=14618
chong le 	冲了	c=2 d=1.64413 t=14618
chong ming 	重名	c=2 d=1.81435 t=14618
chong qi 	重启	c=2 d=1.54255 t=14618
chong su 	重塑	c=1 d=0.980199 t=14618
chong tu 	冲突	c=1 d=0.763379 t=14618
chong xin 	重新	c=1 d=0.995012 t=14618
chong zhi 	重置	c=1 d=0.878095 t=14618
chong zhuang 	重装	c=4 d=2.85338 t=14618
chong zu 	充足	c=1 d=0.918512 t=14618
chou 	抽	c=1 d=0.873716 t=14618
chou 	紬	c=1 d=0.946485 t=14618
chou ti li 	抽屉里	c=1 d=0.869358 t=14618
chou yang 	抽样	c=0 d=0.0946485 t=14618
chou yang pan jue 	抽样判决	c=1 d=0.951229 t=14618
chou zhong le 	抽中了	c=1 d=0.763379 t=14618
chu 	出	c=5 d=2.21569 t=14618
chu 	初	c=1 d=0.818731 t=14618
chu 	处	c=3 d=1.46388 t=14618
chu cuo 	出错	c=5 d=3.85985 t=14618
chu dian 	出点	c=1 d=0.980199 t=14618
chu kan 	初看	c=1 d=0.985112 t=14618
chu lai 	出来	c=2 d=1.74583 t=14618
chu lai de 	出来的	c=1 d=0.980199 t=14618
chu le 	出了	c=2 d=0.918512 t=14618
chu le 	除了	c=4 d=3.13094 t=14618
chu li 	处理	c=2 d=1.91727 t=14618
chu mo ban 	触摸板	c=1 d=0.965605 t=14618
chu mou hua ce 	出谋划策	c=1 d=0.97531 t=14618
chu qu 	出去	c=3 d=1.51508 t=14618
chu quan 	出圈	c=1 d=0.529935 t=14618
chu se 	出色	c=1 d=0.927743 t=14618
chu shi 	初始	c=15 d=5.60181 t=14618
chu shi chang du 	初始长度	c=1 d=0.873716 t=14618
chu shi dian 	初始点	c=1 d=0.529935 t=14618
chu shi ju li 	初始距离	c=2 d=0.996849 t=14618
chu su du 	初速度	c=4 d=2.47036 t=14618
chu xian 	出现	c=2 d=1.55427 t=14618
chu yi 	除以	c=1 d=0.941765 t=14618
chu yu 	处于	c=1 d=0.794534 t=14618
chu zhi 	初值	c=1 d=0.733447 t=14618
chuan 	串	c=2 d=0.842146 t=14618
chuan 	传	c=1 d=0.985112 t=14618
chuan 	川	c=1 d=0.680451 t=14618
chuan 	穿	c=1 d=1 t=14618
chuan che 	穿车	c=1 d=0.70822 t=14618
chuan cheng 	传承	c=1 d=0.99005 t=14618
chuan gei wo 	传给我	c=1 d=0.960789 t=14618
chuan shu 	传输	c=2 d=1.24807 t=14618
chuan shu su du 	传输速度	c=1 d=0.937067 t=14618
chuan tong 	传统	c=3 d=1.88014 t=14618
chuan tong wen hua 	传统文化	c=3 d=1.44914 t=14618
chuan tou 	穿透	c=1 d=0.57695 t=14618
chuan yue 	穿越	c=1 d=0.690734 t=14618
chuang jian 	创建	c=7 d=3.70592 t=14618
chuang kou 	窗口	c=9 d=6.20446 t=14618
chuang she 	创设	c=0 d=0.0839457 t=14618
chuang she le 	创设了	c=1 d=0.843665 t=14618
chuang xin 	创新	c=6 d=1.97169 t=14618
chuang xin chuang ye 	创新创业	c=1 d=0.856415 t=14618
